category_type,category,Date,Amount
Expense,EMIs,2021-01-01,2600.0
Expense,Groceries & Food,2021-01-01,6000.0
Expense,Health,2021-01-01,1000.0
Expense,House Rent,2021-01-01,10000.0
Expense,Leisure,2021-01-01,600.0
Expense,Other,2021-01-01,100.0
Expense,Shopping,2021-01-01,1000.0
Expense,Trevel,2021-01-01,200.0
Income,Freelancig,2021-01-01,1000.0
Income,Salary,2021-01-01,60000.0
Savings,Emergency Fund,2021-01-01,2000.0
Savings,Fixed Deposit,2021-01-01,2000.0
Savings,Liquid Cash,2021-01-01,35600.0
Savings,Mutual funds,2021-01-01,6000.0
Target,Savings,2021-01-01,0.25
Expense,EMIs,2021-02-01,2600.0
Expense,Groceries & Food,2021-02-01,6000.0
Expense,Health,2021-02-01,1000.0
Expense,House Rent,2021-02-01,10000.0
Expense,Leisure,2021-02-01,1600.0
Expense,Other,2021-02-01,300.0
Expense,Shopping,2021-02-01,1000.0
Expense,Trevel,2021-02-01,200.0
Income,Freelancig,2021-02-01,1000.0
Income,Salary,2021-02-01,60000.0
Savings,Emergency Fund,2021-02-01,2000.0
Savings,Fixed Deposit,2021-02-01,2000.0
Savings,Liquid Cash,2021-02-01,34600.0
Savings,Mutual funds,2021-02-01,6000.0
Target,Savings,2021-02-01,0.25
Expense,EMIs,2021-03-01,2600.0
Expense,Groceries & Food,2021-03-01,6000.0
Expense,Health,2021-03-01,1000.0
Expense,House Rent,2021-03-01,10000.0
Expense,Leisure,2021-03-01,600.0
Expense,Other,2021-03-01,500.0
Expense,Shopping,2021-03-01,1000.0
Expense,Trevel,2021-03-01,200.0
Income,Freelancig,2021-03-01,2000.0
Income,Salary,2021-03-01,60000.0
Savings,Emergency Fund,2021-03-01,2000.0
Savings,Fixed Deposit,2021-03-01,2000.0
Savings,Liquid Cash,2021-03-01,36600.0
Savings,Mutual funds,2021-03-01,6000.0
Target,Savings,2021-03-01,0.25
Expense,EMIs,2021-04-01,2600.0
Expense,Groceries & Food,2021-04-01,6000.0
Expense,Health,2021-04-01,1000.0
Expense,House Rent,2021-04-01,10000.0
Expense,Leisure,2021-04-01,1600.0
Expense,Other,2021-04-01,300.0
Expense,Shopping,2021-04-01,1000.0
Expense,Trevel,2021-04-01,200.0
Income,Freelancig,2021-04-01,3000.0
Income,Salary,2021-04-01,60000.0
Savings,Emergency Fund,2021-04-01,2000.0
Savings,Fixed Deposit,2021-04-01,2000.0
Savings,Liquid Cash,2021-04-01,36600.0
Savings,Mutual funds,2021-04-01,6000.0
Target,Savings,2021-04-01,0.25
Expense,EMIs,2021-05-01,2600.0
Expense,Groceries & Food,2021-05-01,6000.0
Expense,Health,2021-05-01,1000.0
Expense,House Rent,2021-05-01,10000.0
Expense,Leisure,2021-05-01,600.0
Expense,Other,2021-05-01,100.0
Expense,Shopping,2021-05-01,1000.0
Expense,Trevel,2021-05-01,200.0
Income,Freelancig,2021-05-01,3000.0
Income,Salary,2021-05-01,60000.0
Savings,Emergency Fund,2021-05-01,2000.0
Savings,Fixed Deposit,2021-05-01,2000.0
